iter	Passed	Remaining
0	0	66
1	1	58
2	1	53
3	2	48
4	2	47
5	2	46
6	3	45
7	3	44
8	4	44
9	4	43
10	5	43
11	5	43
12	6	42
13	6	42
14	7	41
15	8	43
16	9	44
17	9	44
18	10	44
19	11	44
20	11	43
21	12	43
22	12	43
23	13	42
24	13	41
25	14	41
26	15	40
27	15	40
28	16	39
29	16	39
30	17	38
31	17	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	35
38	22	35
39	23	34
40	23	34
41	23	33
42	24	32
43	25	32
44	25	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	31	26
55	32	25
56	33	24
57	33	24
58	34	23
59	34	23
60	35	22
61	36	22
62	37	21
63	37	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	44	14
75	45	14
76	46	13
77	46	13
78	47	12
79	48	12
80	48	11
81	49	10
82	49	10
83	50	9
84	51	9
85	52	8
86	52	7
87	53	7
88	53	6
89	54	6
90	55	5
91	55	4
92	56	4
93	57	3
94	57	3
95	58	2
96	59	1
97	59	1
98	60	0
99	61	0
